"Date","Price","Open","High","Low","Vol.","Change %"
"07/21/2023","213.89","214.41","215.20","213.40","468.06K","0.14%"
"07/20/2023","213.60","214.46","216.00","212.85","469.48K","-0.66%"
"07/19/2023","215.01","216.84","217.81","213.54","538.79K","-0.21%"
"07/18/2023","215.46","214.62","215.96","213.36","398.68K","0.07%"
"07/17/2023","215.31","216.46","217.38","214.88","297.24K","-0.61%"
"07/14/2023","216.63","215.71","217.32","215.70","310.80K","0.10%"
"07/13/2023","216.41","215.98","217.38","215.29","422.50K","0.27%"
"07/12/2023","215.83","216.38","217.88","214.54","610.43K","0.98%"
"07/11/2023","213.73","221.00","221.63","212.13","1.06M","-5.05%"
"07/10/2023","225.09","221.94","225.11","221.61","377.56K","1.19%"
"07/07/2023","222.45","222.55","223.87","220.81","354.70K","-0.30%"
"07/06/2023","223.13","220.43","223.29","220.25","404.17K","0.31%"
"07/05/2023","222.45","222.08","223.08","221.00","451.55K","-0.21%"
"07/03/2023","222.91","224.73","225.54","222.77","243.88K","-1.35%"
"06/30/2023","225.97","224.10","226.80","223.49","374.59K","1.36%"
"06/29/2023","222.93","221.46","223.04","219.97","271.66K","0.05%"
"06/28/2023","222.81","221.44","223.54","221.28","294.41K","0.62%"
"06/27/2023","221.44","219.54","222.59","219.16","444.31K","0.91%"
"06/26/2023","219.45","220.94","222.29","219.28","344.84K","-0.85%"
"06/23/2023","221.33","218.18","222.46","217.84","764.16K","0.48%"
"06/22/2023","220.27","220.02","220.57","218.69","384.92K","-0.04%"
"06/21/2023","220.36","220.95","221.07","218.89","548.25K","-0.60%"
"06/20/2023","221.69","222.23","224.39","220.97","485.55K","-0.89%"
"06/16/2023","223.69","225.76","226.06","223.34","1.05M","-0.45%"
"06/15/2023","224.71","220.21","225.45","219.78","513.60K","1.78%"
"06/14/2023","220.79","223.33","223.83","219.74","527.72K","-1.19%"
"06/13/2023","223.45","224.72","225.93","222.80","354.72K","-0.21%"
"06/12/2023","223.91","221.56","224.50","221.17","434.39K","1.33%"
"06/09/2023","220.97","220.33","222.43","220.05","379.69K","0.21%"
"06/08/2023","220.51","220.83","222.12","219.33","432.34K","-0.14%"
"06/07/2023","220.83","223.68","225.04","219.98","470.43K","-1.57%"
"06/06/2023","224.36","224.75","227.21","223.73","376.01K","-0.27%"
"06/05/2023","224.96","225.81","227.04","224.31","427.10K","-0.89%"
"06/02/2023","226.97","223.24","227.34","223.24","540.15K","1.65%"
"06/01/2023","223.28","223.72","224.60","221.88","466.37K","-0.02%"
"05/31/2023","223.32","224.81","225.34","222.35","1.23M","-0.68%"
"05/30/2023","224.85","227.27","227.83","224.58","456.14K","-0.50%"
"05/26/2023","225.99","224.31","228.26","224.31","450.38K","0.96%"
"05/25/2023","223.85","222.96","225.38","221.85","385.15K","0.82%"
"05/24/2023","222.04","221.72","223.34","220.96","320.04K","-0.44%"
"05/23/2023","223.02","227.09","228.76","222.87","368.56K","-2.42%"
"05/22/2023","228.54","227.00","229.72","226.61","510.79K","0.50%"
"05/19/2023","227.41","226.72","227.84","226.04","492.32K","0.66%"
"05/18/2023","225.92","223.51","226.34","223.02","317.95K","0.88%"
"05/17/2023","223.96","225.54","225.54","222.52","348.54K","-0.23%"
"05/16/2023","224.47","224.71","226.45","223.24","291.05K","-0.72%"
"05/15/2023","226.09","222.41","226.52","222.24","439.54K","1.51%"
"05/12/2023","222.73","220.89","222.85","219.43","286.30K","1.03%"
"05/11/2023","220.47","223.47","223.47","220.01","335.03K","-1.11%"
"05/10/2023","222.94","219.69","223.66","218.75","427.77K","2.28%"
"05/09/2023","217.97","218.77","220.08","217.81","390.66K","-0.86%"
"05/08/2023","219.87","219.63","220.47","219.16","390.47K","0.17%"
"05/05/2023","219.49","220.94","222.95","218.17","470.80K","-0.58%"
"05/04/2023","220.77","222.35","223.11","220.49","398.22K","-0.81%"
"05/03/2023","222.58","220.38","226.50","220.38","748.54K","1.35%"
"05/02/2023","219.61","219.40","220.10","216.89","500.93K","0.10%"
"05/01/2023","219.40","220.35","221.05","217.16","464.99K","-1.08%"
"04/28/2023","221.80","212.19","221.92","212.19","749.92K","2.26%"
"04/27/2023","216.90","211.98","217.28","211.98","524.63K","2.21%"
"04/26/2023","212.20","212.97","213.77","211.19","400.39K","-0.30%"
"04/25/2023","212.83","215.28","215.28","212.68","309.76K","-1.30%"
"04/24/2023","215.64","217.68","218.07","214.56","259.37K","-0.88%"
"04/21/2023","217.56","215.96","217.68","215.59","503.39K","1.06%"
"04/20/2023","215.27","215.49","215.79","214.04","337.86K","-0.16%"
"04/19/2023","215.62","216.74","217.82","215.42","306.84K","-1.08%"
"04/18/2023","217.97","218.72","219.29","217.14","302.17K","0.39%"
"04/17/2023","217.13","216.60","217.79","216.15","306.41K","0.31%"
"04/14/2023","216.46","215.76","216.94","215.07","247.97K","-0.19%"
"04/13/2023","216.87","212.68","217.27","212.68","364.36K","2.01%"
"04/12/2023","212.60","215.00","215.87","212.37","320.84K","-0.51%"
"04/11/2023","213.69","211.29","214.60","210.31","414.20K","0.52%"
"04/10/2023","212.58","210.83","212.66","210.19","275.40K","-0.23%"
"04/06/2023","213.06","211.38","213.06","210.01","256.98K","0.29%"
"04/05/2023","212.44","214.00","214.36","211.97","546.27K","-0.66%"
"04/04/2023","213.85","213.36","213.96","212.26","540.07K","0.24%"
"04/03/2023","213.34","210.38","213.71","210.01","533.91K","0.95%"
"03/31/2023","211.33","207.14","211.66","206.73","904.18K","2.54%"
"03/30/2023","206.10","205.90","206.30","205.21","761.99K","0.36%"
"03/29/2023","205.37","205.41","207.15","205.28","444.42K","0.61%"
"03/28/2023","204.12","202.92","204.28","202.32","527.44K","0.09%"
"03/27/2023","203.93","201.88","204.30","201.88","715.38K","1.02%"
"03/24/2023","201.88","200.29","202.09","199.51","528.61K","0.63%"
"03/23/2023","200.62","198.76","202.71","198.07","675.83K","1.75%"
"03/22/2023","197.16","199.72","202.27","197.08","539.13K","-1.71%"
"03/21/2023","200.60","198.03","201.45","197.96","913.38K","1.22%"
"03/20/2023","198.18","193.49","198.37","192.44","1.38M","2.50%"
"03/17/2023","193.35","193.04","195.86","192.46","936.24K","-0.43%"
"03/16/2023","194.18","191.32","195.31","191.15","456.86K","1.19%"
"03/15/2023","191.90","190.17","192.15","189.49","522.90K","-0.08%"
"03/14/2023","192.06","193.05","194.03","190.75","564.05K","0.42%"
"03/13/2023","191.26","190.81","193.07","189.60","492.55K","0.03%"
"03/10/2023","191.20","194.45","194.45","190.55","507.51K","-2.49%"
"03/09/2023","196.09","198.86","200.00","195.38","348.56K","-1.13%"
"03/08/2023","198.33","197.35","198.74","196.28","499.97K","0.19%"
"03/07/2023","197.95","199.77","201.03","197.22","481.39K","-0.94%"
"03/06/2023","199.83","200.93","202.57","199.64","379.30K","-0.41%"
"03/03/2023","200.66","198.03","200.82","197.45","543.93K","1.86%"
"03/02/2023","197.00","195.89","197.47","194.77","406.81K","0.37%"
"03/01/2023","196.27","196.59","198.84","195.70","514.46K","-0.28%"
"02/28/2023","196.83","198.19","198.99","196.51","631.11K","-0.73%"
"02/27/2023","198.28","199.76","200.03","197.66","405.55K","-0.05%"
"02/24/2023","198.38","199.53","199.53","196.94","640.86K","-1.79%"
"02/23/2023","202.00","203.70","204.45","200.85","519.45K","-0.50%"
"02/22/2023","203.02","204.94","205.20","201.93","685.92K","-0.42%"
"02/21/2023","203.87","203.27","205.41","202.62","668.07K","-0.41%"
"02/17/2023","204.71","206.71","206.76","203.85","767.10K","-1.31%"
"02/16/2023","207.42","210.25","211.60","207.25","507.65K","-2.88%"
"02/15/2023","213.58","212.53","214.00","210.42","624.87K","-0.11%"
"02/14/2023","213.82","212.74","215.34","211.86","582.85K","0.45%"
"02/13/2023","212.87","210.66","213.05","209.43","723.46K","1.28%"
"02/10/2023","210.18","203.50","211.57","197.84","1.37M","1.00%"
"02/09/2023","208.09","213.79","214.62","207.16","937.79K","-2.01%"
"02/08/2023","212.36","214.23","215.01","211.46","482.81K","-1.62%"
"02/07/2023","215.86","212.78","216.30","210.60","672.47K","1.00%"
"02/06/2023","213.73","216.15","217.07","212.76","548.73K","-1.84%"
"02/03/2023","217.73","219.08","220.16","216.72","497.09K","-2.09%"
"02/02/2023","222.37","222.90","224.56","221.27","379.29K","0.74%"
"02/01/2023","220.73","217.22","221.42","216.54","508.35K","1.23%"
"01/31/2023","218.05","217.24","218.14","216.13","408.97K","0.86%"
"01/30/2023","216.19","217.90","219.84","215.86","347.10K","-1.07%"
"01/27/2023","218.52","216.94","219.60","216.60","374.65K","0.29%"
"01/26/2023","217.89","216.10","217.95","215.75","351.67K","1.37%"
"01/25/2023","214.95","213.83","215.21","211.97","350.71K","-0.26%"
"01/24/2023","215.51","215.02","217.38","213.63","540.88K","0.00%"
"01/23/2023","215.51","214.60","218.46","212.41","748.53K","0.28%"
"01/20/2023","214.91","212.25","215.26","210.68","588.16K","1.55%"
"01/19/2023","211.64","210.67","213.68","210.02","582.22K","-0.32%"
"01/18/2023","212.32","215.19","217.60","211.79","575.02K","-1.01%"
"01/17/2023","214.48","213.89","216.87","213.03","580.60K","0.27%"
"01/13/2023","213.91","211.58","214.54","211.58","453.44K","0.46%"
"01/12/2023","212.94","211.05","213.02","209.31","367.64K","0.60%"
"01/11/2023","211.67","209.01","211.79","208.44","581.02K","1.76%"
"01/10/2023","208.00","206.49","208.61","206.23","595.05K","-0.12%"
"01/09/2023","208.25","205.51","209.75","205.15","792.96K","1.43%"
"01/06/2023","205.31","202.08","205.79","199.88","546.01K","2.63%"
"01/05/2023","200.04","204.65","204.65","199.72","471.28K","-2.69%"
"01/04/2023","205.56","203.65","206.89","202.70","771.63K","1.80%"
"01/03/2023","201.92","206.72","209.88","201.21","842.00K","-1.71%"
"12/30/2022","205.44","203.56","205.61","202.15","345.83K","0.03%"
"12/29/2022","205.38","201.66","205.91","201.55","267.25K","2.11%"
"12/28/2022","201.13","203.78","205.79","200.99","350.28K","-1.44%"
"12/27/2022","204.07","203.81","205.24","202.28","383.92K","0.17%"
"12/23/2022","203.72","201.83","203.88","200.13","360.20K","0.14%"
"12/22/2022","203.43","202.60","204.31","200.12","402.78K","-0.67%"
"12/21/2022","204.81","203.32","205.59","202.52","647.65K","1.02%"
"12/20/2022","202.74","198.86","203.71","198.48","791.10K","1.12%"
"12/19/2022","200.49","200.75","202.87","198.53","853.30K","-0.08%"
"12/16/2022","200.65","197.77","201.80","196.18","6.83M","0.49%"
"12/15/2022","199.67","202.41","202.70","198.13","917.56K","-0.59%"
"12/14/2022","200.86","202.10","203.89","197.58","741.76K","-0.74%"
"12/13/2022","202.35","209.15","209.15","199.88","745.73K","1.33%"
"12/12/2022","199.69","197.10","199.71","195.31","852.28K","1.02%"
"12/09/2022","197.67","197.31","198.95","194.29","470.92K","0.14%"
"12/08/2022","197.40","196.46","198.36","194.88","642.08K","0.72%"
"12/07/2022","195.99","198.03","199.21","195.64","527.40K","-0.74%"
"12/06/2022","197.45","197.09","197.72","193.83","609.15K","0.08%"
"12/05/2022","197.29","200.22","200.36","196.53","688.91K","-2.38%"
"12/02/2022","202.10","200.70","202.96","199.30","593.60K","-1.21%"
"12/01/2022","204.57","203.00","205.38","201.72","780.75K","2.38%"
"11/30/2022","199.81","195.16","202.76","191.26","2.73M","2.49%"
"11/29/2022","194.96","196.89","197.35","193.46","381.10K","-1.41%"
"11/28/2022","197.75","198.10","199.52","196.94","488.17K","-0.56%"
"11/25/2022","198.87","198.00","199.07","195.90","282.04K","-0.22%"
"11/23/2022","199.31","198.34","200.31","197.90","402.28K","0.83%"
"11/22/2022","197.66","197.06","198.29","194.99","453.18K","1.10%"
"11/21/2022","195.51","194.51","196.59","194.51","431.07K","0.65%"
"11/18/2022","194.25","197.17","197.94","192.83","458.81K","-0.66%"
"11/17/2022","195.55","194.73","196.58","193.13","537.04K","-1.01%"
"11/16/2022","197.55","195.63","197.73","194.05","473.95K","1.03%"
"11/15/2022","195.53","195.25","196.70","192.98","520.04K","2.67%"
"11/14/2022","190.45","191.07","193.60","190.27","541.57K","-1.01%"
"11/11/2022","192.39","190.24","193.28","189.75","576.00K","0.66%"
"11/10/2022","191.12","186.55","191.37","186.41","865.94K","7.18%"
"11/09/2022","178.32","179.53","181.87","178.13","603.52K","-1.33%"
"11/08/2022","180.73","179.11","183.82","177.90","620.11K","1.60%"
"11/07/2022","177.88","177.81","178.51","175.20","592.86K","0.67%"
"11/04/2022","176.69","181.76","182.04","175.28","858.85K","-1.94%"
"11/03/2022","180.19","184.10","185.07","180.01","500.90K","-3.44%"
"11/02/2022","186.61","196.27","196.42","186.52","689.41K","-5.26%"
"11/01/2022","196.97","202.05","202.99","196.86","587.08K","-1.74%"
"10/31/2022","200.46","202.37","202.98","199.94","991.86K","-1.43%"
"10/28/2022","203.37","195.19","203.67","193.83","1.40M","9.46%"
"10/27/2022","185.79","184.40","186.99","183.53","830.53K","0.43%"
"10/26/2022","184.99","186.54","190.10","184.54","593.20K","-1.51%"
"10/25/2022","187.82","183.38","187.94","183.38","531.70K","3.08%"
"10/24/2022","182.20","180.80","182.91","179.00","548.64K","1.70%"
"10/21/2022","179.15","177.06","179.67","174.41","820.22K","0.27%"
"10/20/2022","178.67","182.49","183.85","178.58","696.77K","-1.88%"
"10/19/2022","182.10","181.31","182.81","180.45","584.01K","-0.43%"
"10/18/2022","182.89","183.81","184.71","180.88","670.92K","1.86%"
"10/17/2022","179.55","177.73","181.20","177.62","419.37K","3.14%"
"10/14/2022","174.08","179.16","179.66","173.81","531.89K","-1.57%"
"10/13/2022","176.85","171.00","178.62","169.24","723.33K","0.67%"
"10/12/2022","175.68","175.51","176.67","174.75","522.57K","0.45%"
"10/11/2022","174.89","177.03","177.55","173.90","647.29K","-1.19%"
"10/10/2022","176.99","178.75","178.75","175.07","437.82K","-0.49%"
"10/07/2022","177.86","180.08","180.68","177.05","731.84K","-2.32%"
"10/06/2022","182.08","184.14","185.04","180.77","663.01K","-0.97%"
