"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2023","181.16","170.94","182.18","168.24","2.90M","5.10%"
"02/06/2023","172.37","165.40","178.71","165.06","2.72M","1.81%"
"02/03/2023","169.30","159.34","172.88","158.41","7.32M","-7.19%"
"02/02/2023","182.41","179.65","183.43","175.95","4.85M","7.10%"
"02/01/2023","170.31","161.70","170.96","159.80","2.04M","5.38%"
"01/31/2023","161.62","158.65","161.69","157.04","1.79M","2.98%"
"01/30/2023","156.94","160.92","162.91","154.34","2.49M","-4.45%"
"01/27/2023","164.25","157.40","165.06","155.50","2.76M","3.71%"
"01/26/2023","158.38","154.59","158.82","152.40","1.93M","4.25%"
"01/25/2023","151.93","147.24","153.76","140.92","2.69M","0.15%"
"01/24/2023","151.70","152.66","153.04","147.04","2.21M","-1.86%"
"01/23/2023","154.58","155.86","156.00","150.06","4.62M","-2.01%"
"01/20/2023","157.75","149.44","159.99","148.90","2.79M","5.95%"
"01/19/2023","148.89","147.34","150.91","145.83","1.63M","0.11%"
"01/18/2023","148.73","155.24","157.63","147.27","1.77M","-2.73%"
"01/17/2023","152.91","147.50","154.36","144.26","1.88M","3.32%"
"01/13/2023","148.00","143.90","148.83","143.00","1.82M","1.04%"
"01/12/2023","146.48","141.07","147.34","139.07","2.52M","3.31%"
"01/11/2023","141.78","136.90","145.55","135.80","4.07M","7.28%"
"01/10/2023","132.16","126.26","132.56","125.22","2.59M","3.92%"
"01/09/2023","127.17","123.77","127.72","121.86","3.96M","4.86%"
"01/06/2023","121.28","120.68","124.19","116.40","2.89M","1.09%"
"01/05/2023","119.97","124.50","125.35","119.82","2.69M","-5.09%"
"01/04/2023","126.40","128.00","128.20","123.22","2.15M","-0.08%"
"01/03/2023","126.50","131.91","132.71","119.84","2.86M","-1.69%"
"12/30/2022","128.68","127.15","129.67","126.23","1.42M","-0.77%"
"12/29/2022","129.68","125.18","130.23","124.10","1.65M","5.17%"
"12/28/2022","123.30","124.83","126.49","121.20","1.33M","-1.23%"
"12/27/2022","124.83","125.25","126.45","122.16","1.58M","-1.88%"
"12/23/2022","127.22","125.26","127.45","122.21","2.28M","-0.03%"
"12/22/2022","127.26","136.67","137.31","124.52","4.56M","-8.85%"
"12/21/2022","139.62","137.79","140.77","133.38","2.69M","1.16%"
"12/20/2022","138.02","136.56","139.67","133.40","5.89M","-0.83%"
"12/19/2022","139.17","145.51","145.87","136.45","6.81M","-5.49%"
"12/16/2022","147.26","145.50","148.96","143.78","17.46M","0.70%"
"12/15/2022","146.23","145.01","149.51","142.39","6.39M","-2.42%"
"12/14/2022","149.85","143.60","153.15","143.40","6.89M","4.13%"
"12/13/2022","143.91","155.29","157.73","141.23","5.68M","0.08%"
"12/12/2022","143.79","136.25","149.07","136.18","4.69M","4.70%"
"12/09/2022","137.33","134.21","140.43","134.21","3.91M","1.19%"
"12/08/2022","135.71","130.60","138.41","128.31","5.00M","8.17%"
"12/07/2022","125.46","125.81","126.89","122.21","2.93M","0.40%"
"12/06/2022","124.96","134.94","134.94","123.23","3.44M","-6.47%"
"12/05/2022","133.61","140.20","142.13","131.59","2.91M","-5.24%"
"12/02/2022","141.00","136.90","142.82","132.75","3.68M","0.67%"
"12/01/2022","140.06","132.07","140.59","131.55","2.93M","6.47%"
"11/30/2022","131.55","120.17","132.19","119.45","3.39M","7.82%"
"11/29/2022","122.01","125.83","127.68","121.37","2.42M","-3.51%"
"11/28/2022","126.45","123.41","127.54","122.82","2.64M","1.87%"
"11/25/2022","124.13","122.49","124.76","121.42","1.04M","-0.30%"
"11/23/2022","124.50","117.07","125.00","115.24","2.84M","7.01%"
"11/22/2022","116.34","117.55","118.76","114.61","2.34M","-1.04%"
"11/21/2022","117.56","116.40","117.78","113.86","2.68M","-1.01%"
"11/18/2022","118.76","124.85","125.00","117.80","3.53M","-2.41%"
"11/17/2022","121.69","124.70","128.50","121.46","3.10M","-5.86%"
"11/16/2022","129.27","138.44","139.72","128.96","2.83M","-8.44%"
"11/15/2022","141.18","140.48","146.71","139.88","2.72M","4.61%"
"11/14/2022","134.96","139.76","139.76","129.22","2.39M","-5.20%"
"11/11/2022","142.37","138.83","148.15","137.81","2.73M","1.08%"
"11/10/2022","140.85","131.29","144.92","131.20","5.07M","15.18%"
"11/09/2022","122.29","121.61","126.48","119.38","3.44M","-0.35%"
"11/08/2022","122.72","120.18","128.90","117.21","3.91M","2.93%"
"11/07/2022","119.23","122.89","123.22","114.11","7.11M","-3.64%"
"11/04/2022","123.73","131.00","133.00","115.06","15.57M","-28.96%"
"11/03/2022","174.17","170.00","178.77","168.49","3.46M","1.03%"
"11/02/2022","172.40","191.81","192.00","171.14","3.58M","-10.09%"
"11/01/2022","191.74","209.87","211.99","191.26","1.47M","-5.42%"
"10/31/2022","202.73","197.84","206.24","197.20","1.85M","0.95%"
"10/28/2022","200.82","194.50","201.18","189.67","1.66M","1.42%"
"10/27/2022","198.00","202.11","205.76","197.31","1.86M","1.42%"
"10/26/2022","195.22","196.21","209.19","194.62","1.57M","-5.25%"
"10/25/2022","206.04","197.37","206.14","197.37","2.08M","5.74%"
"10/24/2022","194.85","193.47","195.02","188.04","1.67M","0.39%"
"10/21/2022","194.10","190.13","194.80","186.28","1.61M","0.77%"
"10/20/2022","192.62","189.47","200.70","187.68","1.68M","2.60%"
"10/19/2022","187.73","197.01","198.24","186.56","2.55M","-6.81%"
