"Date","Price","Open","High","Low","Vol.","Change %"
"06/09/2023","111.69","110.67","112.23","110.38","1.55M","0.66%"
"06/08/2023","110.96","111.59","111.87","110.58","1.51M","-0.85%"
"06/07/2023","111.91","111.75","112.45","110.56","1.85M","0.45%"
"06/06/2023","111.41","111.75","111.77","110.24","1.58M","-0.21%"
"06/05/2023","111.65","110.69","112.03","110.31","2.55M","1.27%"
"06/02/2023","110.25","107.42","110.37","106.94","2.89M","2.85%"
"06/01/2023","107.20","105.89","107.26","105.07","3.04M","2.16%"
"05/31/2023","104.93","107.52","107.58","104.09","16.80M","-2.25%"
"05/30/2023","107.34","108.55","108.55","105.19","2.16M","-0.77%"
"05/26/2023","108.17","108.19","109.42","107.10","2.19M","0.27%"
"05/25/2023","107.88","107.65","108.08","106.07","2.62M","-0.42%"
"05/24/2023","108.33","109.07","109.46","108.06","1.72M","-0.48%"
"05/23/2023","108.85","109.96","109.98","108.53","2.35M","-1.04%"
"05/22/2023","109.99","108.80","110.28","107.89","1.42M","1.74%"
"05/19/2023","108.11","109.10","109.29","107.59","1.48M","-0.60%"
"05/18/2023","108.76","107.18","108.81","106.91","1.05M","1.35%"
"05/17/2023","107.31","106.67","107.68","105.93","1.67M","1.18%"
"05/16/2023","106.06","107.86","107.93","105.89","2.06M","-1.95%"
"05/15/2023","108.17","106.89","108.44","106.55","1.55M","1.20%"
"05/12/2023","106.89","107.17","107.47","105.92","1.01M","0.26%"
"05/11/2023","106.61","107.83","108.06","106.31","1.92M","-1.85%"
"05/10/2023","108.62","107.72","108.67","106.70","2.25M","1.28%"
"05/09/2023","107.25","106.50","107.66","105.98","2.05M","0.87%"
"05/08/2023","106.33","108.04","108.04","106.27","1.21M","-1.39%"
"05/05/2023","107.83","108.00","108.78","106.61","1.54M","0.59%"
"05/04/2023","107.20","107.42","107.87","106.85","1.58M","-0.44%"
"05/03/2023","107.67","108.34","109.15","107.58","1.51M","0.07%"
"05/02/2023","107.60","109.98","110.20","107.02","1.39M","-2.24%"
"05/01/2023","110.07","109.52","110.72","109.37","1.44M","0.19%"
"04/28/2023","109.86","108.56","110.02","108.07","1.85M","1.87%"
"04/27/2023","107.84","105.83","108.06","105.69","1.69M","2.34%"
"04/26/2023","105.37","105.77","107.09","104.78","2.35M","-2.39%"
"04/25/2023","107.95","110.19","110.19","107.55","1.89M","-2.65%"
"04/24/2023","110.89","109.71","111.01","109.53","2.00M","1.25%"
"04/21/2023","109.52","109.49","109.63","108.67","1.34M","0.41%"
"04/20/2023","109.07","108.93","109.66","108.25","1.46M","-0.64%"
"04/19/2023","109.77","109.41","110.22","108.87","1.27M","0.43%"
"04/18/2023","109.30","109.73","110.26","108.54","1.37M","-0.25%"
"04/17/2023","109.57","108.45","109.57","108.05","1.78M","1.53%"
"04/14/2023","107.92","109.08","109.95","107.21","1.56M","-1.22%"
"04/13/2023","109.25","108.72","109.33","108.04","1.75M","0.77%"
"04/12/2023","108.41","110.34","110.57","108.28","1.93M","-0.89%"
"04/11/2023","109.38","109.30","109.60","108.47","2.33M","0.07%"
"04/10/2023","109.30","107.81","109.30","107.53","2.57M","0.24%"
"04/06/2023","109.04","108.62","109.59","108.09","2.09M","0.19%"
"04/05/2023","108.83","109.72","110.29","108.02","2.33M","-0.97%"
"04/04/2023","109.90","111.57","112.32","108.69","2.96M","-1.28%"
"04/03/2023","111.33","112.66","112.75","110.31","3.51M","-2.84%"
"03/31/2023","114.59","114.37","115.12","113.71","3.09M","0.92%"
"03/30/2023","113.54","117.93","117.93","113.29","2.50M","-2.15%"
"03/29/2023","116.03","110.51","116.86","109.23","5.05M","6.47%"
"03/28/2023","108.98","108.75","110.61","108.49","2.64M","-0.09%"
"03/27/2023","109.08","109.43","109.66","108.60","2.28M","0.22%"
"03/24/2023","108.84","107.88","109.13","107.15","1.65M","0.89%"
"03/23/2023","107.88","107.14","109.76","106.76","1.98M","0.76%"
"03/22/2023","107.07","110.29","110.66","106.98","1.93M","-2.92%"
"03/21/2023","110.29","110.20","110.71","109.08","1.90M","0.54%"
"03/20/2023","109.70","108.21","109.88","107.84","2.17M","2.02%"
"03/17/2023","107.53","108.67","109.31","107.30","7.24M","-1.05%"
"03/16/2023","108.67","106.81","108.90","106.17","1.58M","1.56%"
"03/15/2023","107.00","107.31","107.80","106.29","1.99M","-1.15%"
"03/14/2023","108.24","109.50","110.19","106.85","1.89M","-0.08%"
"03/13/2023","108.33","107.28","110.54","106.78","1.91M","0.46%"
"03/10/2023","107.83","110.57","110.85","107.60","1.90M","-2.90%"
"03/09/2023","111.05","113.27","113.36","110.96","1.28M","-1.46%"
"03/08/2023","112.69","112.00","113.12","111.53","1.13M","0.54%"
"03/07/2023","112.09","113.08","113.25","111.58","2.16M","-0.92%"
"03/06/2023","113.13","112.89","113.63","112.62","1.21M","0.35%"
"03/03/2023","112.73","112.29","113.01","111.59","1.69M","0.56%"
"03/02/2023","112.10","110.01","112.35","110.01","1.43M","1.26%"
"03/01/2023","110.70","110.24","110.84","108.97","1.93M","0.27%"
"02/28/2023","110.40","110.66","111.67","110.35","1.69M","-0.53%"
"02/27/2023","110.99","111.80","112.30","110.58","1.16M","0.01%"
"02/24/2023","110.98","109.91","111.25","109.45","1.57M","-0.31%"
"02/23/2023","111.32","111.04","111.82","110.33","1.27M","0.58%"
"02/22/2023","110.68","111.67","112.33","110.56","1.22M","-0.75%"
"02/21/2023","111.52","113.43","113.78","111.43","1.78M","-2.81%"
"02/17/2023","114.75","114.25","115.28","113.89","1.22M","0.08%"
"02/16/2023","114.66","113.72","115.51","113.44","1.26M","-0.49%"
"02/15/2023","115.23","113.63","115.33","113.05","1.42M","1.13%"
"02/14/2023","113.94","115.18","115.75","113.00","1.25M","-1.36%"
"02/13/2023","115.51","114.30","115.58","114.18","1.30M","1.13%"
"02/10/2023","114.22","113.00","114.72","113.00","1.57M","0.41%"
"02/09/2023","113.75","116.14","116.23","113.37","1.89M","-1.03%"
"02/08/2023","114.93","116.02","116.82","114.64","2.08M","-2.49%"
"02/07/2023","117.87","116.02","118.39","115.54","1.13M","1.04%"
"02/06/2023","116.66","117.37","118.29","116.45","1.10M","-1.62%"
"02/03/2023","118.58","118.85","120.14","116.92","1.79M","-1.67%"
"02/02/2023","120.60","118.60","120.92","117.78","2.48M","2.46%"
"02/01/2023","117.71","115.64","118.49","115.01","1.54M","1.60%"
"01/31/2023","115.86","115.15","115.87","113.81","1.56M","1.02%"
"01/30/2023","114.69","112.76","115.52","112.63","2.80M","1.47%"
"01/27/2023","113.03","114.18","114.70","112.65","2.26M","-1.80%"
"01/26/2023","115.10","116.19","116.50","114.74","1.68M","-0.45%"
"01/25/2023","115.62","116.44","116.47","112.38","2.34M","-2.53%"
"01/24/2023","118.62","119.90","120.14","117.93","1.33M","-1.14%"
"01/23/2023","119.99","117.78","120.96","117.07","1.60M","1.75%"
"01/20/2023","117.93","115.67","118.53","114.71","1.99M","2.09%"
"01/19/2023","115.52","116.91","117.20","115.41","1.12M","-1.46%"
"01/18/2023","117.23","118.64","119.27","117.17","1.81M","-1.00%"
"01/17/2023","118.42","118.89","120.11","117.94","2.16M","-1.57%"
"01/13/2023","120.31","119.66","120.69","119.28","1.24M","0.38%"
"01/12/2023","119.85","119.49","120.09","118.75","1.37M","0.14%"
"01/11/2023","119.68","118.08","119.78","117.17","1.58M","2.02%"
"01/10/2023","117.31","117.23","117.95","115.86","1.11M","-0.09%"
"01/09/2023","117.41","117.35","119.04","117.13","1.48M","-0.03%"
"01/06/2023","117.45","115.59","117.98","114.98","1.26M","2.70%"
"01/05/2023","114.36","116.39","116.44","113.70","1.35M","-2.31%"
"01/04/2023","117.07","116.95","118.19","115.78","1.48M","1.09%"
"01/03/2023","115.81","116.64","116.82","114.88","1.79M","0.22%"
"12/30/2022","115.56","115.82","116.11","113.97","1.06M","-0.77%"
"12/29/2022","116.46","114.85","117.07","114.54","1.37M","1.77%"
"12/28/2022","114.43","115.08","116.20","114.38","1.59M","-0.61%"
"12/27/2022","115.13","115.86","116.04","114.27","1.49M","-0.76%"
"12/23/2022","116.01","112.74","116.24","112.42","2.50M","3.41%"
"12/22/2022","112.18","111.00","112.22","108.00","4.40M","-2.26%"
"12/21/2022","114.77","114.87","115.86","113.90","2.28M","0.45%"
"12/20/2022","114.26","114.99","115.76","113.53","1.50M","-1.09%"
"12/19/2022","115.52","116.15","116.69","114.93","1.81M","-0.38%"
"12/16/2022","115.96","115.71","116.53","115.05","2.86M","-0.96%"
"12/15/2022","117.08","121.22","121.51","116.79","2.08M","-4.56%"
