"Date","Price","Open","High","Low","Vol.","Change %"
"12/14/2022","175.82","176.76","179.81","174.14","5.11M","-0.95%"
"12/13/2022","177.50","182.13","183.09","175.87","6.95M","0.01%"
"12/12/2022","177.48","174.11","177.57","172.91","5.35M","1.85%"
"12/09/2022","174.26","175.96","176.58","174.12","3.97M","-1.19%"
"12/08/2022","176.36","173.76","176.52","172.85","3.90M","1.50%"
"12/07/2022","173.75","172.53","175.03","172.25","3.24M","-0.34%"
"12/06/2022","174.34","178.14","178.16","173.18","4.42M","-1.72%"
"12/05/2022","177.39","176.74","178.64","175.34","4.88M","-0.15%"
"12/02/2022","177.66","175.14","177.99","173.48","3.82M","0.09%"
"12/01/2022","177.50","180.04","180.52","176.21","5.48M","-1.64%"
"11/30/2022","180.46","173.37","180.51","170.97","9.78M","4.32%"
"11/29/2022","172.98","173.64","174.35","171.31","3.13M","-0.01%"
"11/28/2022","173.00","175.71","176.03","172.38","5.36M","-2.30%"
"11/25/2022","177.07","179.25","179.29","177.03","1.59M","-1.07%"
"11/23/2022","178.98","177.00","179.77","176.50","3.94M","0.99%"
"11/22/2022","177.22","174.84","177.31","172.35","4.67M","2.80%"
"11/21/2022","172.40","174.42","174.67","172.27","4.70M","-1.59%"
"11/18/2022","175.18","176.41","176.80","174.04","5.47M","-0.10%"
"11/17/2022","175.36","170.68","175.43","170.63","5.34M","1.10%"
"11/16/2022","173.46","176.42","176.42","173.05","7.66M","-2.31%"
"11/15/2022","177.57","182.05","182.62","176.80","6.60M","0.07%"
"11/14/2022","177.44","179.00","181.12","177.25","5.45M","-1.14%"
"11/11/2022","179.49","175.05","180.79","173.40","6.91M","2.75%"
"11/10/2022","174.69","172.10","175.19","168.88","9.90M","5.88%"
"11/09/2022","164.99","166.39","167.73","164.90","4.80M","-1.86%"
"11/08/2022","168.11","167.44","169.84","165.76","5.11M","1.46%"
"11/07/2022","165.69","163.81","166.29","161.55","4.93M","1.87%"
"11/04/2022","162.65","161.61","162.70","158.42","6.69M","3.92%"
"11/03/2022","156.52","156.38","158.61","155.33","4.56M","-1.24%"
"11/02/2022","158.49","163.26","166.37","158.28","6.92M","-2.71%"
"11/01/2022","162.90","162.24","163.43","160.56","4.97M","1.41%"
"10/31/2022","160.63","160.40","161.55","159.26","6.30M","-0.45%"
"10/28/2022","161.36","155.88","161.69","155.49","6.78M","2.93%"
"10/27/2022","156.76","159.80","159.94","155.43","7.05M","-0.70%"
"10/26/2022","157.87","152.57","161.15","151.33","12.97M","-2.65%"
"10/25/2022","162.16","161.61","164.86","161.19","8.61M","0.32%"
"10/24/2022","161.65","160.21","161.99","158.69","5.47M","1.21%"
"10/21/2022","159.72","155.41","160.03","153.94","7.71M","3.90%"
"10/20/2022","153.72","153.89","156.78","152.41","6.51M","0.70%"
"10/19/2022","152.65","150.63","153.02","149.86","5.06M","0.75%"
"10/18/2022","151.51","155.09","155.98","149.54","4.87M","0.34%"
"10/17/2022","150.99","152.00","152.50","149.52","5.94M","1.79%"
"10/14/2022","148.34","155.90","156.09","148.09","7.47M","-3.89%"
"10/13/2022","154.34","147.61","156.79","145.97","7.91M","1.84%"
"10/12/2022","151.55","153.36","153.80","151.47","4.53M","-1.24%"
"10/11/2022","153.45","154.61","155.34","151.40","9.53M","-2.13%"
"10/10/2022","156.79","159.55","159.61","154.15","6.57M","-1.56%"
"10/07/2022","159.28","164.02","165.06","158.61","8.31M","-4.36%"
"10/06/2022","166.54","167.78","169.15","165.77","4.17M","-0.75%"
"10/05/2022","167.80","164.32","169.23","163.47","5.26M","1.60%"
"10/04/2022","165.15","163.05","165.74","162.59","7.23M","3.32%"
"10/03/2022","159.84","157.41","160.64","156.08","6.67M","3.27%"
"09/30/2022","154.78","157.22","158.80","154.68","6.07M","-2.32%"
"09/29/2022","158.45","160.82","161.40","156.13","6.70M","-2.67%"
