"Date","Price","Open","High","Low","Vol.","Change %"
"07/24/2023","380.39","382.43","384.35","376.81","1.21M","-0.67%"
"07/21/2023","382.96","384.62","388.38","381.00","2.64M","0.29%"
"07/20/2023","381.86","386.58","390.83","381.43","1.34M","-2.22%"
"07/19/2023","390.51","385.00","394.54","384.87","1.48M","1.32%"
"07/18/2023","385.42","384.38","385.57","379.23","935.24K","0.45%"
"07/17/2023","383.69","379.07","385.35","378.40","809.55K","0.86%"
"07/14/2023","380.41","379.73","381.78","377.52","660.48K","0.23%"
"07/13/2023","379.54","386.99","387.73","379.34","702.08K","-0.99%"
"07/12/2023","383.32","383.60","384.74","378.55","979.86K","1.01%"
"07/11/2023","379.48","371.44","380.09","371.38","887.32K","2.70%"
"07/10/2023","369.52","364.72","372.88","364.29","1.04M","1.59%"
"07/07/2023","363.74","366.00","367.90","363.26","935.34K","-0.90%"
"07/06/2023","367.03","370.00","373.48","366.01","1.14M","-2.38%"
"07/05/2023","375.99","376.33","381.15","374.10","1.00M","-0.90%"
"07/03/2023","379.41","379.90","381.50","377.61","498.27K","0.24%"
"06/30/2023","378.50","375.37","380.37","374.76","1.48M","2.23%"
"06/29/2023","370.26","378.02","379.96","369.84","1.10M","-1.59%"
"06/28/2023","376.25","377.06","378.83","374.34","880.41K","0.46%"
"06/27/2023","374.52","375.29","377.50","374.16","823.30K","0.20%"
"06/26/2023","373.77","377.31","378.29","373.47","1.03M","-0.13%"
"06/23/2023","374.25","374.10","377.30","372.46","3.27M","-0.98%"
"06/22/2023","377.96","376.43","379.42","376.00","887.21K","-0.22%"
"06/21/2023","378.81","384.03","385.50","378.02","1.21M","-1.22%"
"06/20/2023","383.49","383.00","383.83","378.76","1.47M","0.12%"
"06/16/2023","383.02","386.87","386.87","381.05","1.85M","0.10%"
"06/15/2023","382.63","377.21","383.20","376.10","1.41M","1.44%"
"06/14/2023","377.21","370.00","378.76","369.09","1.83M","2.40%"
"06/13/2023","368.36","370.25","370.53","364.43","1.63M","0.05%"
"06/12/2023","368.18","362.18","368.80","357.16","1.94M","2.16%"
"06/09/2023","360.40","355.49","360.50","354.01","1.71M","1.54%"
"06/08/2023","354.95","354.02","355.27","350.90","1.37M","0.29%"
"06/07/2023","353.93","355.09","358.40","352.54","1.38M","-0.59%"
"06/06/2023","356.02","357.90","361.61","354.78","1.71M","-0.12%"
"06/05/2023","356.44","363.00","363.64","355.61","3.09M","-2.46%"
"06/02/2023","365.44","378.23","386.33","364.82","9.32M","11.30%"
"06/01/2023","328.35","330.91","334.68","326.93","4.17M","-1.08%"
